algorithm,length,time
bitap,1,0.01933
bitap,2,0.023237
bitap,3,0.020479
bitap,4,0.022546
bitap,5,0.019521
bitap,6,0.018129
bitap,7,0.02025
bitap,8,0.020594
bitap,9,0.019845
bitap,10,0.022638
bitap,1,0.099011
bitap,2,0.099748
bitap,3,0.107487
bitap,4,0.099376
bitap,5,0.107574
bitap,6,0.09812
bitap,7,0.099362
bitap,8,0.108032
bitap,9,0.099959
bitap,10,0.110259
bitap,1,0.167257
bitap,2,0.203374
bitap,3,0.167702
bitap,4,0.183454
bitap,5,0.203957
bitap,6,0.229368
bitap,7,0.204009
bitap,8,0.184489
bitap,9,0.203958
bitap,10,0.169771
bmh,1,0.274187
bmh,2,0.228193
bmh,3,0.181926
bmh,4,0.16797
bmh,5,0.147062
bmh,6,0.135287
bmh,7,0.117109
bmh,8,0.09793
bmh,9,0.101916
bmh,10,0.088709
bmh,1,1.50651
bmh,2,1.40543
bmh,3,0.788149
bmh,4,0.531386
bmh,5,0.423843
bmh,6,0.361725
bmh,7,0.322877
bmh,8,0.291118
bmh,9,0.270876
bmh,10,0.277246
bmh,1,2.65814
bmh,2,2.83289
bmh,3,1.50566
bmh,4,1.05859
bmh,5,0.680673
bmh,6,0.621506
bmh,7,0.358305
bmh,8,0.475813
bmh,9,0.43764
bmh,10,0.425321
brute,1,0.029572
brute,2,0.023601
brute,3,0.025464
brute,4,0.028587
brute,5,0.023496
brute,6,0.025843
brute,7,0.02387
brute,8,0.025583
brute,9,0.028612
brute,10,0.025869
brute,1,0.169501
brute,2,0.169399
brute,3,0.179393
brute,4,0.163154
brute,5,0.16432
brute,6,0.167642
brute,7,0.168761
brute,8,0.166545
brute,9,0.167665
brute,10,0.163584
brute,1,0.321886
brute,2,0.323207
brute,3,0.358717
brute,4,0.295145
brute,5,0.295153
brute,6,0.294529
brute,7,0.294584
brute,8,0.249851
brute,9,0.295572
brute,10,0.295063
kmp,1,0.002854
kmp,2,0.016011
kmp,3,0.017153
kmp,4,0.016527
kmp,5,0.019739
kmp,6,0.016598
kmp,7,0.017898
kmp,8,0.019366
kmp,9,0.017735
kmp,10,0.01804
kmp,1,0.020829
kmp,2,0.07477
kmp,3,0.07458
kmp,4,0.02588
kmp,5,0.074844
kmp,6,0.075496
kmp,7,0.116709
kmp,8,0.075477
kmp,9,0.076055
kmp,10,0.076064
kmp,1,0.033822
kmp,2,0.154727
kmp,3,0.127244
kmp,4,0.32436
kmp,5,0.1399
kmp,6,0.12666
kmp,7,0.155431
kmp,8,0.154456
kmp,9,0.140948
kmp,10,0.141373
rk,1,0.028492
rk,2,0.034908
rk,3,0.029453
rk,4,0.029962
rk,5,0.029333
rk,6,0.029719
rk,7,0.030089
rk,8,0.029833
rk,9,0.029425
rk,10,0.030743
rk,1,0.222075
rk,2,0.223334
rk,3,0.222484
rk,4,0.244997
rk,5,0.270653
rk,6,0.224105
rk,7,0.245489
rk,8,0.27122
rk,9,0.223995
rk,10,0.073324
rk,1,0.478839
rk,2,0.850466
rk,3,0.432185
rk,4,0.431654
rk,5,0.481032
rk,6,0.479978
rk,7,0.43398
rk,8,0.393631
rk,9,0.478325
rk,10,0.40162
